file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,churn,files,NR,NBF,nc,ncom,avg_cs,dsc,ce,exp,own,is_controller,is_procedural,is_test,is_util,is_external
D:\paper\xai_demo\.\demo\OpenLegislation\src\main\java\gov\nysenate\openleg\legislation\bill\BillVote.java,gov.nysenate.openleg.legislation.bill.BillVote,class,11,21,10,11,33,2,0,30,197,0.79629624,0.2735632,0.691954,30,3,30,0,0,0,30,0,0,0,9,2,1,8,0,0,1,0,9,112,19,0,3,0,0,8,2,17,2,11,1,0,0,1,146,1,0,81052,1490,2,16,65.0,7.0,22.923076923076923,4.1975894813732655,3.6711271908397363,9.285714285714286,0.36923076923076925,False,False,False,False,False
D:\paper\xai_demo\.\demo\OpenLegislation\src\main\java\gov\nysenate\openleg\common\util\NumberConversionUtils.java,gov.nysenate.openleg.common.util.NumberConversionUtils,class,2,3,1,2,18,1,0,17,6,0.6,0.06666667,0.06666667,5,4,4,1,0,0,6,0,0,0,2,2,0,2,0,0,2,0,7,51,8,3,3,0,1,46,32,12,16,13,2,0,0,1,54,1,0,2011,91,0,4,9.0,1.0,10.11111111111111,3.92,2.017398711638732,9.0,1.0,False,False,False,True,False
D:\paper\xai_demo\.\demo\OpenLegislation\src\main\java\gov\nysenate\openleg\api\spotcheck\view\MismatchTypeSummaryView.java,gov.nysenate.openleg.api.spotcheck.view.MismatchTypeSummaryView,class,7,9,2,7,6,1,0,6,8,0.6,0.33333334,0.33333334,5,0,3,2,0,0,3,0,0,0,1,0,0,0,1,0,0,0,2,41,4,0,1,0,0,1,1,6,0,5,1,2,0,0,18,1,0,1183,46,1,2,4.0,2.0,11.5,6.244897959183674,1.021253609523689,2.0,0.75,False,True,False,False,False
D:\paper\xai_demo\.\demo\OpenLegislation\src\main\java\gov\nysenate\openleg\api\legislation\transcripts\session\view\TranscriptPdfView.java,gov.nysenate.openleg.api.legislation.transcripts.session.view.TranscriptPdfView,class,4,7,3,4,4,3,0,11,1,0.44444445,0.33333334,0.33333334,3,0,1,0,2,0,3,0,0,0,3,1,0,3,0,0,3,0,0,21,1,0,1,0,2,1,3,5,6,5,1,0,0,0,54,1,0,10291,381,2,7,33.0,4.0,11.545454545454545,8.044753086419753,3.218029477238634,8.25,0.7878787878787878,False,True,False,False,False
D:\paper\xai_demo\.\demo\OpenLegislation\src\test\java\gov\nysenate\openleg\TestServletContext.java,gov.nysenate.openleg.TestServletContext,class,3,3,0,3,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,519,21,0,0,1.0,1.0,21.0,0.0,0.0,1.0,1.0,False,False,True,False,False
D:\paper\xai_demo\.\demo\OpenLegislation\src\main\java\gov\nysenate\openleg\legislation\calendar\CalendarSupplemental.java,gov.nysenate.openleg.legislation.calendar.CalendarSupplemental,class,9,27,18,9,22,2,0,16,14,0.65882355,0.44852942,1.0,17,0,17,0,0,0,17,0,0,0,5,0,0,5,0,0,0,0,6,77,12,0,5,0,0,2,0,7,0,6,2,0,0,0,73,1,0,26359,721,0,2,19.0,4.0,37.94736842105263,7.093425605536332,2.76368500306052,4.75,0.631578947368421,False,False,False,False,False
D:\paper\xai_demo\.\demo\OpenLegislation\src\test\java\gov\nysenate\openleg\processors\transcripts\hearing\PublicHearingTestHelper.java,gov.nysenate.openleg.processors.transcripts.hearing.PublicHearingTestHelper,class,2,5,3,2,3,1,0,5,1,0.0,,,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,15,1,0,0,1,0,2,0,3,1,2,1,0,0,0,20,1,0,119546,421,2,5,19.0,5.0,22.157894736842106,4.247901234567901,2.617748966017677,3.8,0.5263157894736842,True,False,True,True,False
D:\paper\xai_demo\.\demo\OpenLegislation\src\main\java\gov\nysenate\openleg\spotchecks\sensite\BaseSenateSiteReportService.java,gov.nysenate.openleg.spotchecks.sensite.BaseSenateSiteReportService,class,11,16,5,11,3,1,0,16,1,0.5,0.0,0.0,3,0,1,1,1,0,2,1,0,1,2,1,0,2,0,0,1,0,1,22,2,0,0,1,0,3,0,4,1,5,1,0,0,1,50,1025,1,1904,59,1,0,3.0,2.0,19.666666666666668,0.0,0.8265798654832013,1.5,0.6666666666666666,True,False,False,False,False
D:\paper\xai_demo\.\demo\OpenLegislation\src\main\java\gov\nysenate\openleg\legislation\transcripts\session\TranscriptFile.java,gov.nysenate.openleg.legislation.transcripts.session.TranscriptFile,class,1,7,6,1,5,3,0,1,2,0.5,0.4,0.4,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,0,20,2,0,0,0,0,0,0,3,0,2,0,0,0,0,36,1,0,3134,151,0,3,9.0,4.0,16.77777777777778,4.24,1.8844311505166065,2.25,0.6666666666666666,False,False,False,False,False
D:\paper\xai_demo\.\demo\OpenLegislation\src\main\java\gov\nysenate\openleg\spotchecks\openleg\bill\OpenlegBillReportService.java,gov.nysenate.openleg.spotchecks.openleg.bill.OpenlegBillReportService,class,20,21,1,20,10,1,0,26,1,0.44444445,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,6,2,0,6,0,0,6,0,3,58,2,3,0,1,0,4,2,19,1,17,4,0,0,0,92,1,2,9273,295,6,8,28.0,5.0,10.535714285714286,8.049586776859504,2.641687152268062,5.6,0.5,True,False,False,False,False
